Avvio ascensore: Tue Feb  7 16:33:56 2017
[SALITO] Bambino al piano 2, destinazione 0, tempo dall'avvio 270, Tue Feb  7 16:38:26 2017

[SALITO] Addetto alla consegna al piano 2, destinazione 1, tempo dall'avvio 270, Tue Feb  7 16:38:26 2017

[SALITO] Bambino al piano 2, destinazione 0, tempo dall'avvio 270, Tue Feb  7 16:38:26 2017

[SCESO] Addetto alla consegna al piano 3, tempo dall'avvio 276, Tue Feb  7 16:38:32 2017

[SALITO] Bambino al piano 3, destinazione 2, tempo dall'avvio 276, Tue Feb  7 16:38:32 2017

[SALITO] Bambino al piano 3, destinazione 1, tempo dall'avvio 276, Tue Feb  7 16:38:32 2017

[SCESO] Bambino al piano 2, tempo dall'avvio 282, Tue Feb  7 16:38:38 2017

[SALITO] Adulto al piano 2, destinazione 3, tempo dall'avvio 282, Tue Feb  7 16:38:38 2017

[SCESO] Addetto alla consegna al piano 1, tempo dall'avvio 288, Tue Feb  7 16:38:44 2017

[SCESO] Bambino al piano 1, tempo dall'avvio 288, Tue Feb  7 16:38:44 2017

[SALITO] Adulto al piano 1, destinazione 2, tempo dall'avvio 288, Tue Feb  7 16:38:44 2017

[SALITO] Bambino al piano 1, destinazione 0, tempo dall'avvio 288, Tue Feb  7 16:38:44 2017

[SCESO] Bambino al piano 0, tempo dall'avvio 294, Tue Feb  7 16:38:50 2017

[SCESO] Bambino al piano 0, tempo dall'avvio 294, Tue Feb  7 16:38:50 2017

[SCESO] Bambino al piano 0, tempo dall'avvio 294, Tue Feb  7 16:38:50 2017

[SALITO] Addetto alla consegna al piano 0, destinazione 3, tempo dall'avvio 294, Tue Feb  7 16:38:50 2017

[SALITO] Bambino al piano 1, destinazione 0, tempo dall'avvio 300, Tue Feb  7 16:38:56 2017

[SCESO] Adulto al piano 2, tempo dall'avvio 306, Tue Feb  7 16:39:02 2017

[SALITO] Adulto al piano 2, destinazione 3, tempo dall'avvio 306, Tue Feb  7 16:39:02 2017

[SCESO] Adulto al piano 3, tempo dall'avvio 312, Tue Feb  7 16:39:08 2017

[SCESO] Addetto alla consegna al piano 3, tempo dall'avvio 312, Tue Feb  7 16:39:08 2017

[SCESO] Adulto al piano 3, tempo dall'avvio 312, Tue Feb  7 16:39:08 2017

[SALITO] Adulto al piano 3, destinazione 0, tempo dall'avvio 312, Tue Feb  7 16:39:08 2017

[SALITO] Addetto alla consegna al piano 3, destinazione 1, tempo dall'avvio 312, Tue Feb  7 16:39:08 2017

[SALITO] Adulto al piano 3, destinazione 2, tempo dall'avvio 312, Tue Feb  7 16:39:08 2017

[SCESO] Adulto al piano 2, tempo dall'avvio 318, Tue Feb  7 16:39:14 2017

[SCESO] Addetto alla consegna al piano 1, tempo dall'avvio 324, Tue Feb  7 16:39:20 2017

[SCESO] Bambino al piano 0, tempo dall'avvio 330, Tue Feb  7 16:39:26 2017

[SCESO] Adulto al piano 0, tempo dall'avvio 330, Tue Feb  7 16:39:26 2017

[SALITO] Adulto al piano 0, destinazione 2, tempo dall'avvio 330, Tue Feb  7 16:39:26 2017

[SALITO] Bambino al piano 0, destinazione 1, tempo dall'avvio 330, Tue Feb  7 16:39:26 2017

[SALITO] Bambino al piano 0, destinazione 2, tempo dall'avvio 330, Tue Feb  7 16:39:26 2017

[SALITO] Bambino al piano 0, destinazione 1, tempo dall'avvio 330, Tue Feb  7 16:39:26 2017

[SALITO] Bambino al piano 0, destinazione 3, tempo dall'avvio 330, Tue Feb  7 16:39:26 2017

[SCESO] Bambino al piano 1, tempo dall'avvio 336, Tue Feb  7 16:39:32 2017

[SCESO] Bambino al piano 1, tempo dall'avvio 336, Tue Feb  7 16:39:32 2017

[SCESO] Adulto al piano 2, tempo dall'avvio 342, Tue Feb  7 16:39:38 2017

[SCESO] Bambino al piano 2, tempo dall'avvio 342, Tue Feb  7 16:39:38 2017

[SCESO] Bambino al piano 3, tempo dall'avvio 348, Tue Feb  7 16:39:44 2017

Terminazione ascensore Tue Feb  7 16:40:08 2017
 (1486482008)
Riassunto attivita' giornaliera:
Totale persone trasportate 72
Bambini 30
Adulti 26
Addetti alle consegne 16
